Time,Open,High,Low,Last,Change,%Chg,Volume
12/29/2023,758.03,760.35,752.33,756.92,-0.93,-0.12%,518000
12/28/2023,762.07,763.09,757.81,757.85,-6.18,-0.81%,467900
12/27/2023,760.82,764.48,758.35,764.03,1.35,+0.18%,487000
12/26/2023,750.1,765.795,750,762.68,10.15,+1.35%,509200
12/22/2023,752.84,755.82,749.105,752.53,-2.74,-0.36%,597300
12/21/2023,744.17,755.92,743.5542,755.27,25.66,+3.52%,868400
12/20/2023,739.6,749.86,729.61,729.61,-15.11,-2.03%,1007600
12/19/2023,743,745.08,740.53,744.72,2.66,+0.36%,571100
12/18/2023,747.37,747.795,736.318,742.06,-10.9,-1.45%,808800
12/15/2023,753.71,760.325,749.62,752.96,-0.75,-0.10%,1507000
12/14/2023,744.3,755.99,744.3,753.71,18.42,+2.51%,1446500
12/13/2023,724.65,738.68,720.74,735.29,14.73,+2.04%,1037200
12/12/2023,714.92,720.98,711.31,720.56,10.32,+1.45%,880100
12/11/2023,704.72,713.49,702.6,710.24,13.81,+1.98%,1584900
12/08/2023,695.34,702.83,694.03,696.43,-3.22,-0.46%,920700
12/07/2023,695.37,700.485,692.0901,699.65,7.57,+1.09%,780800
12/06/2023,699.42,703.27,691.22,692.08,-2.45,-0.35%,657000
12/05/2023,690.32,697.43,687.93,694.53,4.21,+0.61%,609900
12/04/2023,686.74,690.72,679.12,690.32,-1.88,-0.27%,748700
12/01/2023,688.17,695.5796,683.045,692.2,8.44,+1.23%,857600
11/30/2023,683.11,684.33,676.3788,683.76,-3.85,-0.56%,753700
11/29/2023,686.51,693.11,684.665,687.61,11.62,+1.72%,795400
11/28/2023,680,682.85,672.65,675.99,-12.39,-1.80%,644500
11/27/2023,687.66,690.31,685.05,688.38,-2.8,-0.41%,545400
11/24/2023,690.07,692.035,687.9,691.18,6.38,+0.93%,352100
11/22/2023,689.47,694.05,683.91,684.8,0.38,+0.06%,523100
11/21/2023,693.87,694.58,679.92,684.42,-9.89,-1.42%,705400
11/20/2023,685.32,696.97,685.32,694.31,8.22,+1.20%,675000
11/17/2023,681.06,687.59,679.2,686.09,5.22,+0.77%,627600
11/16/2023,676.71,684.575,675,680.87,2.87,+0.42%,854600
11/15/2023,680.28,682.2,675.01,678,2.59,+0.38%,918700
11/14/2023,674.65,678.49,669.5,675.41,20.81,+3.18%,1166700
11/13/2023,654.14,657.75,648.27,654.6,-6.68,-1.01%,641100
11/10/2023,644.46,663.22,640.79,661.28,27.02,+4.26%,1247000
11/09/2023,646.39,649.38,633.85,634.26,-5.03,-0.79%,1221600
11/08/2023,639.55,642.66,637.1501,639.29,2.98,+0.47%,726900
11/07/2023,633.82,641.39,633.53,636.31,-1.13,-0.18%,529000
11/06/2023,636.88,638.8,631.1701,637.44,-4.97,-0.77%,651200
11/03/2023,643.1,647,638.9,642.41,11.02,+1.75%,907000
11/02/2023,636.97,637.49,627.09,631.39,23.12,+3.80%,1527400
11/01/2023,599.67,608.8,596.7801,608.27,9.46,+1.58%,1005800
10/31/2023,599.65,602.13,593.56,598.81,9.93,+1.69%,1020300
10/30/2023,592.77,594.45,582.48,588.88,-1.12,-0.19%,746600
10/27/2023,594.87,595.97,587.33,590,1.8,+0.31%,819400
10/26/2023,593.1,599,585.565,588.2,4.86,+0.83%,1092900
10/25/2023,597.45,598.19,581.57,583.34,-17.41,-2.90%,1322600
10/24/2023,590.62,602.76,589.625,600.75,12.96,+2.20%,1333800
10/23/2023,577.61,593.505,573.86,587.79,7.69,+1.33%,905000
10/20/2023,588.95,592.29,578.3,580.1,-7.63,-1.30%,1035100
10/19/2023,600.44,604.54,584.86,587.73,4.48,+0.77%,1475500
10/18/2023,581.78,591.79,573.86,583.25,-25.38,-4.17%,2401700
10/17/2023,590.89,610.3499,586.94,608.63,4.83,+0.80%,1535700
10/16/2023,601.04,606.05,598,603.8,4.05,+0.68%,1154100
10/13/2023,611.34,612.2,597.3401,599.75,-17.01,-2.76%,1098500
10/12/2023,609.64,624.19,609.64,616.76,10.57,+1.74%,1618400
10/11/2023,601.35,606.19,598,606.19,4.04,+0.67%,981700
10/10/2023,600.18,606.8,598.35,602.15,10.78,+1.82%,1086900
10/09/2023,587.65,591.71,582.41,591.37,-5.99,-1.00%,738500
10/06/2023,583.79,600.49,577.6,597.36,15.67,+2.69%,1042200
10/05/2023,583.7,586.595,575.4,581.69,-9.17,-1.55%,865400
10/04/2023,584.17,591.8401,580.455,590.86,20.26,+3.55%,1325800
10/03/2023,574.95,579.685,567.57,570.6,-11.58,-1.99%,1101200
10/02/2023,583.36,587.62,576.35,582.18,-6.48,-1.10%,811400
09/29/2023,600.43,600.855,586.76,588.66,8.01,+1.38%,1017400
09/28/2023,566.23,588.3,563.995,580.65,6.12,+1.07%,1112400
09/27/2023,578,582.18,564.28,574.53,1.82,+0.32%,1477500
09/26/2023,576.4,578.77,567.92,572.71,-13.42,-2.29%,1471000
09/25/2023,583.63,587.99,580.53,586.13,-0.97,-0.17%,607300
09/22/2023,593.88,594.77,586.045,587.1,4.98,+0.86%,837500
09/21/2023,586.99,590.975,582.12,582.12,-7.76,-1.32%,1313700
09/20/2023,595.62,600.8299,589.75,589.88,-3.89,-0.66%,1095400
09/19/2023,596.04,598.15,589.125,593.77,-3.96,-0.66%,893500
09/18/2023,588.18,598.36,588.01,597.73,1.07,+0.18%,1071700
09/15/2023,602.62,605.23,594.02,596.66,-25.24,-4.06%,2841300
09/14/2023,620.81,624.8,615.36,621.9,4.85,+0.79%,1236900
09/13/2023,614.37,619.96,613.81,617.05,-1.75,-0.28%,1076900
09/12/2023,611,622.99,610.2,618.8,-8.91,-1.42%,1311300
09/11/2023,630.83,631.53,618.38,627.71,-0.15,-0.02%,1066300
09/08/2023,628.37,633.02,625.22,627.86,-9.93,-1.56%,873500
09/07/2023,637.63,639.67,628.86,637.79,-28.25,-4.24%,1236100
09/06/2023,666.15,669.785,657.075,666.04,2.48,+0.37%,870800
09/05/2023,665.13,667.43,661.17,663.56,1.04,+0.16%,592200
09/01/2023,674,674.54,657.5,662.52,1.99,+0.30%,592800
08/31/2023,660,669.32,656.62,660.53,-9.03,-1.35%,1100000
08/30/2023,667.39,671.22,663.53,669.56,2.05,+0.31%,564100
08/29/2023,652.5,668.535,652.355,667.51,8.52,+1.29%,757900
08/28/2023,657.06,659.81,652.49,658.99,7.98,+1.23%,535900
08/25/2023,643.68,652.89,635.8659,651.01,3.19,+0.49%,986300
08/24/2023,678.01,678.17,646.87,647.82,-29.3,-4.33%,1336800
08/23/2023,668.24,680.95,666.52,677.12,9.6,+1.44%,908100
08/22/2023,679.22,680.5301,663.705,667.52,5,+0.75%,760300
08/21/2023,653.86,664.64,649.91,662.52,7.19,+1.10%,1104300
08/18/2023,645.02,658.33,642.95,655.33,10.99,+1.71%,937600
08/17/2023,655.74,655.77,642.875,644.34,-2.1,-0.32%,797100
08/16/2023,655.59,658.99,646.28,646.44,-5.26,-0.81%,665200
08/15/2023,657.9,658.87,650.75,651.7,-14.85,-2.23%,633300
08/14/2023,652.95,666.74,648.71,666.55,4.77,+0.72%,957400
08/11/2023,666.8,670.0088,661.27,661.78,-16.03,-2.36%,806000
08/10/2023,688.19,695.32,676.12,677.81,5.32,+0.79%,913900
08/09/2023,679.75,683.9918,670.64,672.49,-6.88,-1.01%,685200
08/08/2023,675.31,680.695,670.46,679.37,-14.05,-2.03%,746600
08/07/2023,690.44,693.43,684.415,693.42,15.38,+2.27%,663500
08/04/2023,685.35,689.145,675.25,678.04,-2.97,-0.44%,891900
08/03/2023,673.8,682.85,672.73,681.01,-2.05,-0.30%,920600
08/02/2023,695.6,695.94,682.08,683.06,-25.65,-3.62%,1026300
08/01/2023,711.45,712.5,705.54,708.71,-7.7,-1.07%,556100
07/31/2023,721.29,722.71,712.19,716.41,-1.96,-0.27%,789300
07/28/2023,714.43,721.5,709.69,718.37,10.25,+1.45%,950000
07/27/2023,714.94,720.42,703.57,708.12,23.82,+3.48%,1488700
07/26/2023,679.93,690.17,677.44,684.3,-3,-0.44%,752100
07/25/2023,684.92,695.32,684.91,687.3,2.82,+0.41%,1061800
07/24/2023,685,688.75,680.85,684.48,-8.88,-1.28%,1145700
07/21/2023,695.31,697.86,689.27,693.36,17.23,+2.55%,2524100
07/20/2023,697,697.81,673.34,676.13,-39.65,-5.54%,2918800
07/19/2023,739.2,742.83,713.13,715.78,-41.25,-5.45%,2406100
07/18/2023,748.8,760,742.45,757.03,2.54,+0.34%,1221900
07/17/2023,744.5,756.92,735.48,754.49,0.47,+0.06%,1356600
07/14/2023,760.65,771.98,751.97,754.02,3.28,+0.44%,1843900
07/13/2023,741.17,751.5,740.2,750.74,25.88,+3.57%,1209100
07/12/2023,729.52,730.5,722.2281,724.86,19.86,+2.82%,1311600
07/11/2023,708.92,709.7801,695.685,705,-4.83,-0.68%,623300
07/10/2023,703.71,712.83,703.43,709.83,13.09,+1.88%,930900
07/07/2023,697.9,705.7428,693.66,696.74,-2.57,-0.37%,1352000
07/06/2023,701.73,703.675,693.23,699.31,-16.36,-2.29%,1219000
07/05/2023,721.2,722.61,714.44,715.67,-18.21,-2.48%,955900
07/03/2023,733.99,737.17,726.15,733.88,9.13,+1.26%,531900
06/30/2023,722.53,727.445,715.66,724.75,1.4,+0.19%,963600
06/29/2023,727.62,729.38,721.5851,723.35,-0.84,-0.12%,768100
06/28/2023,719.43,730,717.32,724.19,-0.89,-0.12%,866300
06/27/2023,706.9,726.6551,704.52,725.08,24.84,+3.55%,1115800
06/26/2023,703.08,714.12,700.23,700.24,2.35,+0.34%,714200
06/23/2023,698.1,701.63,695.9237,697.89,-19.52,-2.72%,916900
06/22/2023,701.98,717.75,700.35,717.41,10.11,+1.43%,699900
06/21/2023,718.62,719.55,704.86,707.3,-13.11,-1.82%,820300
06/20/2023,720.62,724.74,710.58,720.41,-1.47,-0.20%,799800
06/16/2023,731.4,733.16,720,721.88,-16.81,-2.28%,1337300
06/15/2023,723.27,744.44,722.32,738.69,-1.52,-0.21%,820400
06/14/2023,735.41,741.72,728.16,740.21,2.94,+0.40%,821400
06/13/2023,737.22,739.4,723.8,737.27,7.1,+0.97%,876100
06/12/2023,721.99,730.77,720,730.17,14.31,+2.00%,1059600
06/09/2023,720.56,725.6062,712.61,715.86,-4.19,-0.58%,864800
06/08/2023,711.1,720.42,708.37,720.05,9.84,+1.39%,763300
06/07/2023,713.36,720.15,705.57,710.21,-6.42,-0.90%,921300
06/06/2023,707.75,717.64,702.945,716.63,-5.57,-0.77%,845300
06/05/2023,724.64,726.63,718.395,722.2,-2.45,-0.34%,663600
06/02/2023,730,732.55,719.76,724.65,-2.12,-0.29%,813800
06/01/2023,724.2,732.7225,718.545,726.77,3.84,+0.53%,992200
05/31/2023,727.07,730.035,713.2801,722.93,-5.33,-0.73%,1347600
05/30/2023,743.13,747.13,725.55,728.26,-7.67,-1.04%,1411100
05/26/2023,716.65,742.31,715.635,735.93,27.45,+3.87%,2349100
05/25/2023,701.02,710.99,693.76,708.48,41.69,+6.25%,1929800
05/24/2023,668.06,670.8401,661.1771,666.79,-14.66,-2.15%,1159200
05/23/2023,690.85,693.38,678.855,681.45,-17.19,-2.46%,958800
05/22/2023,690.86,699.6,688.83,698.64,4.64,+0.67%,856000
05/19/2023,698,699.865,693.8401,694,-1.93,-0.28%,949700
05/18/2023,675.27,697.25,675.065,695.93,25.43,+3.79%,1458900
05/17/2023,656.99,671.4,652.77,670.5,18.45,+2.83%,1162700
05/16/2023,652.78,657.87,651.575,652.05,-3.64,-0.56%,710000
05/15/2023,646.88,655.7,644.88,655.69,8.18,+1.26%,893400
05/12/2023,649.34,651,642.1,647.51,-2.68,-0.41%,375300
05/11/2023,650.78,652.28,645.15,650.19,-6.95,-1.06%,560600
05/10/2023,654.38,660.4,651.9,657.14,14.09,+2.19%,813700
05/09/2023,640.5,643.87,638.28,643.05,-11.94,-1.82%,746100
05/08/2023,651.75,655,649.21,654.99,4.67,+0.72%,518900
05/05/2023,636.68,654.22,633.9001,650.32,15.27,+2.40%,801500
05/04/2023,632.13,639.34,629.85,635.05,0.31,+0.05%,614000
05/03/2023,633.94,644.65,630.72,634.74,0.69,+0.11%,582800
05/02/2023,632.87,637.5199,628.5301,634.05,-1.15,-0.18%,738000
05/01/2023,635,639.21,634.03,635.2,-1.66,-0.26%,469500
04/28/2023,630.86,637.3401,626.522,636.86,7.62,+1.21%,823000
04/27/2023,621.76,631.3,612.77,629.24,20.14,+3.31%,1126900
04/26/2023,613.72,615.13,606.17,609.1,3.34,+0.55%,844200
04/25/2023,626.47,626.47,605.76,605.76,-21.62,-3.45%,1404800
04/24/2023,640.83,641.31,626.93,627.38,-7.09,-1.12%,1431300
04/21/2023,635.51,637.14,627.8,634.47,0.9,+0.14%,982000
04/20/2023,625.36,639.875,625.36,633.57,9.97,+1.60%,1692900
04/19/2023,624.76,627.95,616.88,623.6,-19.73,-3.07%,2266000
04/18/2023,644.69,648.27,636.7601,643.33,4.29,+0.67%,910200
04/17/2023,638.74,642.1,632.28,639.04,-27.16,-4.08%,1536500
04/14/2023,665.41,672.64,659.3701,666.2,0.79,+0.12%,645900
04/13/2023,662.33,670.88,659.85,665.41,10.75,+1.64%,1118600
04/12/2023,669.01,672,653.69,654.66,-5.11,-0.77%,897200
04/11/2023,669.51,672.735,658.97,659.77,-1.87,-0.28%,787400
04/10/2023,649.93,661.99,645.49,661.64,4.52,+0.69%,688600
04/06/2023,658.3,665.2,655.32,657.12,-6.78,-1.02%,679500
04/05/2023,663.66,664.78,657.31,663.9,-4.78,-0.71%,850400
04/04/2023,675.88,681.6,666.061,668.68,-5.31,-0.79%,877900
04/03/2023,674.8,675.74,667.39,673.99,-6.72,-0.99%,657200
03/31/2023,675.09,683.18,673.6282,680.71,4.03,+0.60%,681600
03/30/2023,675.2,680.63,673.51,676.68,17.56,+2.66%,892400
03/29/2023,649.57,665.17,648.4651,659.12,19.41,+3.03%,1101700
03/28/2023,644.1,644.62,632.38,639.71,-4.34,-0.67%,793400
03/27/2023,655.37,657.48,643.05,644.05,-3.48,-0.54%,800500
03/24/2023,656.05,658.95,639.75,647.53,-16.63,-2.50%,842900
03/23/2023,657.74,673.94,654.94,664.16,23.79,+3.72%,1171400
03/22/2023,643,661.4,639.54,640.37,-1.76,-0.27%,955400
03/21/2023,651.71,655.83,635.2,642.13,-4.2,-0.65%,848700
03/20/2023,646.3,648.3299,639.1,646.33,12.64,+1.99%,935500
03/17/2023,633.71,638.4,626.81,633.69,3.13,+0.50%,1109200
03/16/2023,600.75,631.02,598.99,630.56,23.87,+3.93%,1063700
03/15/2023,600.72,609.0899,596.61,606.69,-13.61,-2.19%,1047200
03/14/2023,617.49,620.45,611.28,620.3,15.52,+2.57%,844500
03/13/2023,593.12,612.97,589.89,604.78,3.57,+0.59%,967100
03/10/2023,614.1,617.3499,599.43,601.21,-3.53,-0.58%,1047014
03/09/2023,617.07,623.89,604.56,604.74,-14.66,-2.37%,983700
03/08/2023,611.8,620.55,609.03,619.4,10.29,+1.69%,1081700
03/07/2023,619.35,621.74,605.3,609.11,-11.86,-1.91%,1033000
03/06/2023,627.32,633.11,619.85,620.97,-16.41,-2.57%,1403000
03/03/2023,625.35,637.666,621.77,637.38,13.21,+2.12%,1024300
03/02/2023,606.32,625.0949,603.23,624.17,9.22,+1.50%,796300
03/01/2023,621.07,623.12,611.96,614.95,-2.78,-0.45%,794200
02/28/2023,612.45,625.25,610.14,617.73,-14.35,-2.27%,1381700
02/27/2023,631.41,639.37,626.26,632.08,13.7,+2.22%,804600
02/24/2023,619.43,624.67,612.72,618.38,-19.71,-3.09%,995900
02/23/2023,642.13,642.88,626.68,638.09,13.88,+2.22%,1093000
02/22/2023,632.56,635.4,620.43,624.21,-5.57,-0.88%,1017300
02/21/2023,638.01,643.94,629.53,629.78,-22.15,-3.40%,1022700
02/17/2023,650.75,657.995,647.385,651.93,-4.35,-0.66%,1149800
02/16/2023,658.7,668.2,655.45,656.28,-20.53,-3.03%,946200
02/15/2023,661.82,677.48,661,676.81,-0.67,-0.10%,684200
02/14/2023,661.71,680.98,657.21,677.48,8.74,+1.31%,1013400
02/13/2023,659.13,673.02,657.32,668.74,12.39,+1.89%,596000
02/10/2023,653.09,657.17,648.6351,656.35,-7.78,-1.17%,731800
02/09/2023,673.12,682.28,662.02,664.13,1.34,+0.20%,686500
02/08/2023,671.47,674.89,661.36,662.79,-15.93,-2.35%,764100
02/07/2023,659.24,683.69,659.24,678.72,16.75,+2.53%,1236100
02/06/2023,665.92,669.34,659.49,661.97,-17.65,-2.60%,783200
02/03/2023,678.45,693.3799,677.93,679.62,-16.93,-2.43%,1015800
02/02/2023,696.9,698.5901,684.945,696.55,18.02,+2.66%,1318500
02/01/2023,659.53,685.09,655.89,678.53,17.69,+2.68%,1274200
01/31/2023,651.22,660.86,647.3,660.84,10.53,+1.62%,801800
01/30/2023,650,658.24,647.62,650.31,-17.08,-2.56%,1209900
01/27/2023,667.2,678.12,666.68,667.39,-16.51,-2.41%,1249600
01/26/2023,681.9,684.94,667.82,683.9,2.37,+0.35%,1593300
01/25/2023,656.96,683.02,655.02,681.53,11.52,+1.72%,1569100
01/24/2023,666.72,673.04,659.92,670.01,-6.02,-0.89%,1066900
01/23/2023,658.05,676.28,656.85,676.03,27.18,+4.19%,1780800
01/20/2023,638.09,650.6,634.2,648.85,18.6,+2.95%,1033400
01/19/2023,654.61,655.68,627.02,630.25,-22.04,-3.38%,1534000
01/18/2023,673.52,676.11,651.54,652.29,-5.9,-0.90%,1152700
01/17/2023,651.1,662.9799,651.1,658.19,-1.5,-0.23%,902600
01/13/2023,649.33,660.74,648.73,659.69,7.13,+1.09%,649600
01/12/2023,651.44,656.285,634.8401,652.56,7.88,+1.22%,1322100
01/11/2023,635.55,645.14,633.3,644.68,11.29,+1.78%,806500
01/10/2023,622.63,633.78,621.61,633.39,12.06,+1.94%,873800
01/09/2023,613.99,632.39,612.8,621.33,25.48,+4.28%,1348700
01/06/2023,575.33,598.6845,567.2801,595.85,30.53,+5.40%,1025900
01/05/2023,565.38,573.55,562.55,565.32,-5.51,-0.97%,710900
01/04/2023,570.8,575.51,561.06,570.83,21.26,+3.87%,1087300
01/03/2023,561.28,564.15,545.77,549.57,3.17,+0.58%,675300
12/30/2022,540.86,546.48,536.77,546.4,-5.07,-0.92%,703200
12/29/2022,541.2,555.37,540.15,551.47,19.83,+3.73%,840900
12/28/2022,536.7,541.8,529.01,531.64,-5.54,-1.03%,609800
12/27/2022,546.05,546.5,536.51,537.18,-14.19,-2.57%,802500
12/23/2022,546.87,552.065,542.5301,551.37,-4.58,-0.82%,602700
