Time,Open,High,Low,Last,Change,%Chg,Volume
12/29/2023,1121.46,1124.38,1114.67,1116.25,-6.16,-0.55%,2055800
12/28/2023,1131.69,1132.24,1119.05,1122.41,-3.76,-0.33%,2124900
12/27/2023,1136,1139.57,1122.96,1126.17,-5.72,-0.51%,2005500
12/26/2023,1124.24,1135.5,1123.02,1131.89,9.91,+0.88%,1679300
12/22/2023,1127.98,1132,1113.53,1121.98,-5.31,-0.47%,1908800
12/21/2023,1132.65,1135.42,1115,1127.29,16.91,+1.52%,2410500
12/20/2023,1132.7,1141.36,1109.26,1110.38,-29.2,-2.56%,3452300
12/19/2023,1142,1150.46,1132.505,1139.58,-7.42,-0.65%,3602000
12/18/2023,1120.8,1151.82,1118.64,1147,17.26,+1.53%,5474100
12/15/2023,1095.22,1149.88,1094.618,1129.74,23.25,+2.10%,11854300
12/14/2023,1092.18,1121.46,1090.28,1106.49,16.8,+1.54%,6696400
12/13/2023,1068,1099.78,1062.54,1089.69,17.41,+1.62%,7165300
12/12/2023,1027.99,1079.39,1024.58,1072.28,43.04,+4.18%,9024100
12/11/2023,957.01,1039.51,956.09,1029.24,84.94,+9.00%,10118300
12/08/2023,927.84,950.73,910.5262,944.3,22.04,+2.39%,6966800
12/07/2023,905.54,924.12,903.64,922.26,18.62,+2.06%,4351600
12/06/2023,920.36,920.97,903.1,903.64,-9.48,-1.04%,2481200
12/05/2023,911.6,917.27,905.845,913.12,-10.85,-1.17%,3706500
12/04/2023,920.64,930.97,916.44,923.97,-6.03,-0.65%,2500900
12/01/2023,922.46,933.9,908,930,4.27,+0.46%,2961200
11/30/2023,941,942.415,918.37,925.73,-15.1,-1.60%,4957100
11/29/2023,948.34,959.4299,939.37,940.83,-5.52,-0.58%,3484200
11/28/2023,939.94,950.86,934.16,946.35,-3.89,-0.41%,3902500
11/27/2023,976.15,981.01,949.33,950.24,-28.63,-2.92%,9696200
11/24/2023,974.96,979.86,966.75,978.87,6.87,+0.71%,2315700
11/22/2023,983.69,987.9899,971,972,-9.2,-0.94%,3375000
11/21/2023,975,991,971.63,981.2,-14.51,-1.46%,4334300
11/20/2023,973,999.87,973,995.71,17.98,+1.84%,1868000
11/17/2023,958.21,983.89,951,977.73,18.18,+1.89%,1979400
11/16/2023,964,968.7,950.52,959.55,-15.85,-1.62%,2619800
11/15/2023,979.51,981.75,966.91,975.4,2.44,+0.25%,1609900
11/14/2023,962.34,976.77,955.2521,972.96,26.03,+2.75%,2388500
11/13/2023,950.05,952.4,940.48,946.93,-10.59,-1.11%,1689200
11/10/2023,921.74,958.95,918.21,957.52,46.14,+5.06%,3628700
11/09/2023,912.5,929.7999,908.56,911.38,0.25,+0.03%,2448600
11/08/2023,900,912.9084,899,911.13,13.31,+1.48%,1527900
11/07/2023,882.32,901.77,876.155,897.82,16.99,+1.93%,1936600
11/06/2023,881.56,885.89,871.21,880.83,-1.85,-0.21%,1287100
11/03/2023,877.5,887.5,871.0567,882.68,11.38,+1.31%,1804100
11/02/2023,862,880.5,860,871.3,18.36,+2.15%,1875900
11/01/2023,842,853.825,835.57,852.94,11.57,+1.38%,1868300
10/31/2023,843.89,845.5,832.6,841.37,0.12,+0.01%,1474700
10/30/2023,841.1,849.43,827.15,841.25,2.89,+0.34%,2088900
10/27/2023,830,840.21,828.54,838.36,11.61,+1.40%,1823600
10/26/2023,847.91,854.415,818.3401,826.75,-22.88,-2.69%,2791600
10/25/2023,877.07,878.73,846.08,849.63,-31.48,-3.57%,2143100
10/24/2023,864,883,863.12,881.11,18.89,+2.19%,1497200
10/23/2023,857.96,873.5999,842.82,862.22,8.59,+1.01%,1645500
10/20/2023,874.9,874.9,851.84,853.63,-14.2,-1.64%,2695300
10/19/2023,887.02,889.49,865.67,867.83,-19.2,-2.16%,2661900
10/18/2023,879.95,895.63,875.2,887.03,2.63,+0.30%,2040400
10/17/2023,885.15,892.98,866,884.4,-18.17,-2.01%,3300800
10/16/2023,890.97,915.785,890.97,902.57,19.39,+2.20%,2115000
10/13/2023,909,925.91,882.09,883.18,-22.42,-2.48%,2833300
10/12/2023,876.43,917.93,876.43,905.6,31.04,+3.55%,4387000
10/11/2023,859.71,875.34,856.55,874.56,16.15,+1.88%,1433400
10/10/2023,857.15,872.545,855.72,858.41,2.53,+0.30%,1471800
10/09/2023,840.46,856.61,837.83,855.88,10.62,+1.26%,1575900
10/06/2023,819.4,848.385,811.72,845.26,21.4,+2.60%,2110300
10/05/2023,820.11,828.63,815.4801,823.86,0.05,+0.01%,1147400
10/04/2023,820.33,830.58,816.3025,823.81,8.98,+1.10%,1641700
10/03/2023,827,835.75,808.91,814.83,-20.12,-2.41%,1876000
10/02/2023,829.06,838.56,823.5,834.95,4.37,+0.53%,1467500
09/29/2023,836.45,844.04,822.91,830.58,-1.42,-0.17%,1648100
09/28/2023,820.17,838.86,814.68,832,15.19,+1.86%,1617900
09/27/2023,819.26,823.68,804.3802,816.81,0.62,+0.08%,1535200
09/26/2023,829.17,830.265,811.21,816.19,-17.7,-2.12%,1764100
09/25/2023,828,838.5599,823.01,833.89,4.81,+0.58%,1564700
09/22/2023,811.24,830.5799,810.38,829.08,20.72,+2.56%,2779500
09/21/2023,795.11,822.5,795.09,808.36,-22.21,-2.67%,5367100
09/20/2023,849.99,849.99,830.35,830.57,-18.63,-2.19%,1370100
09/19/2023,845.99,851.03,838.5,849.2,-0.8,-0.09%,1313100
09/18/2023,842.58,856.33,840,850,-1.68,-0.20%,1654000
09/15/2023,868.16,868.16,842.9,851.68,-19.96,-2.29%,5018900
09/14/2023,859.03,876.67,855,871.64,18.71,+2.19%,1964800
09/13/2023,847.19,859.11,844.24,852.93,8.41,+1.00%,1741200
09/12/2023,850.24,858.265,841.66,844.52,-14.62,-1.70%,1668000
09/11/2023,868.77,869,845.65,859.14,1.59,+0.19%,1571000
09/08/2023,855,860.83,850.12,857.55,0.52,+0.06%,1681900
09/07/2023,859.5,861.69,840.52,857.03,-15.24,-1.75%,2778900
09/06/2023,872.5,877.37,866.74,872.27,0.1,+0.01%,2014200
09/05/2023,869.51,883,867,872.17,-0.35,-0.04%,2480800
09/01/2023,901.87,901.87,864.66,872.52,-50.37,-5.46%,6501700
08/31/2023,898.01,923.67,893.77,922.89,30.61,+3.43%,5520200
08/30/2023,892.39,898.71,879.11,892.28,2.35,+0.26%,2323400
08/29/2023,858.4,892.835,856.4199,889.93,28.85,+3.35%,2782200
08/28/2023,856.39,864.1299,847.11,861.08,9.26,+1.09%,1430500
08/25/2023,857.02,869.44,837.67,851.82,-2.64,-0.31%,2418000
08/24/2023,902.35,909.855,852.46,854.46,-22.12,-2.52%,3093400
08/23/2023,850.77,878.19,850,876.58,20.79,+2.43%,1969200
08/22/2023,873.41,874.75,850.88,855.79,-9.35,-1.08%,1708100
08/21/2023,834.06,867.34,831.77,865.14,39.3,+4.76%,3001100
08/18/2023,820,828.17,812,825.84,-1.26,-0.15%,1775800
08/17/2023,836.51,839.42,827.01,827.1,-5.89,-0.71%,1922700
08/16/2023,847.79,854.5,831.96,832.99,-9.53,-1.13%,1600300
08/15/2023,849.21,854.62,836.46,842.52,-11.58,-1.36%,1403601
08/14/2023,831.13,854.18,827.38,854.1,24.34,+2.93%,1768800
08/11/2023,834.01,836.4,823.48,829.76,-13.14,-1.56%,2033100
