Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
12/28/2023,73.8,74.4,72.69,73.35,-0.76,-1.03%,107268,0
12/27/2023,75.32,75.66,73.77,74.11,-1.46,-1.93%,253323,280142
12/26/2023,73.56,76.18,73.13,75.57,2.01,+2.73%,208715,280667
12/22/2023,73.91,74.98,73.39,73.56,-0.33,-0.45%,222600,288520
12/21/2023,73.81,74.58,72.44,73.89,-0.33,-0.44%,251982,294109
12/20/2023,74.06,75.37,73.6,74.22,0.28,+0.38%,273364,296731
12/19/2023,72.93,74.45,72.14,73.94,1.12,+1.54%,230042,294684
12/18/2023,72.05,74.61,70.99,72.82,1.04,+1.45%,354885,294276
12/15/2023,71.91,72.56,70.64,71.78,-0.13,-0.18%,262866,292573
12/14/2023,70.08,72.73,69.82,71.91,2.19,+3.14%,224155,287600
12/13/2023,68.99,70.15,67.98,69.72,0.87,+1.26%,185243,286759
12/12/2023,71.67,72.2,68.49,68.85,-2.71,-3.79%,189445,264821
12/11/2023,71.36,72.03,70.61,71.56,0.12,+0.17%,119845,237592
12/08/2023,70,71.81,69.75,71.44,1.85,+2.66%,124725,224113
12/07/2023,69.57,70.7,69.08,69.59,-0.06,-0.09%,144372,214029
12/06/2023,72.33,72.84,69.39,69.65,-2.88,-3.97%,183907,195905
12/05/2023,73.59,74.34,72.24,72.53,-0.79,-1.08%,142712,180808
12/04/2023,74.76,75.2,72.87,73.32,-0.93,-1.25%,158417,163208
12/01/2023,75.71,76.81,74.13,74.25,-1.8,-2.37%,127626,159936
11/30/2023,77.79,79.67,75.16,76.05,-1.94,-2.49%,209441,154266
11/29/2023,76.67,78.18,75.86,77.99,1.4,+1.83%,112412,137452
11/28/2023,75.32,77.13,74.88,76.59,1.5,+2.00%,121438,131857
11/27/2023,75.57,76.42,74.35,75.09,-0.68,-0.90%,84350,137209
11/24/2023,76.94,77.25,75.32,75.77,-1.48,-1.92%,74983,135447
11/22/2023,77.92,78.11,73.98,77.25,-0.67,-0.86%,99855,132645
11/21/2023,77.69,78.04,77.04,77.92,0.02,+0.03%,69053,135026
11/20/2023,75.81,78.48,75.47,77.9,1.79,+2.35%,69324,131638
11/17/2023,73.25,76.24,73.02,76.11,2.92,+3.99%,101754,128284
