Time,Open,High,Low,Last,Change,%Chg,Volume
12/29/2023,584.78,586.7,577.02,581.3,-4.97,-0.85%,512900
12/28/2023,597.1,597.43,585.98,586.27,-5.2,-0.88%,514100
12/27/2023,594.17,594.89,588.44,591.47,0.1,+0.02%,586900
12/26/2023,586.9,593.91,586.1747,591.37,8.72,+1.50%,654600
12/22/2023,579.7,585,578.46,582.65,2.2,+0.38%,409700
12/21/2023,575.5,582.15,572.52,580.45,17.15,+3.04%,640400
12/20/2023,572.05,578.5,562.69,563.3,-14.81,-2.56%,1036100
12/19/2023,579.86,583.01,577,578.11,1.38,+0.24%,877900
12/18/2023,591.51,593,575.56,576.73,-8.4,-1.44%,928500
12/15/2023,585,590.145,581.9134,585.13,2.71,+0.47%,1387600
12/14/2023,575.05,586.35,575.05,582.42,11.72,+2.05%,1499100
12/13/2023,562.1,573.56,558.84,570.7,9.65,+1.72%,783800
12/12/2023,558.2,564.46,558.16,561.05,1.84,+0.33%,871800
12/11/2023,545.56,563.61,542.695,559.21,24.78,+4.64%,1134700
12/08/2023,535.53,539.18,532,534.43,-6.8,-1.26%,1038300
12/07/2023,535.09,543.31,530.07,541.23,12.62,+2.39%,679500
12/06/2023,544.54,545.59,527.44,528.61,-8.62,-1.60%,766700
12/05/2023,532.29,537.37,527.11,537.23,-2.36,-0.44%,578900
12/04/2023,543.2,545.5,528.05,539.59,-9.41,-1.71%,889300
12/01/2023,543.24,550.23,540.56,549,4.38,+0.80%,619800
11/30/2023,544.12,547.66,536.765,544.62,0.55,+0.10%,2208500
11/29/2023,556.37,557.5,542.61,544.07,-3.07,-0.56%,1277400
11/28/2023,549.16,554.6,543.85,547.14,-9.81,-1.76%,965600
11/27/2023,555.33,562,553.3,556.95,1.31,+0.24%,588500
11/24/2023,552.47,557.2158,551.47,555.64,1.47,+0.27%,306400
11/22/2023,556.32,562.8401,549.975,554.17,3.48,+0.63%,594400
11/21/2023,555.37,555.94,547.54,550.69,-7.06,-1.27%,910400
11/20/2023,542.2,559.42,542.2,557.75,13.21,+2.43%,817500
11/17/2023,531.77,546.21,529.76,544.54,-0.85,-0.16%,1315600
11/16/2023,544.8,550.2903,543.8,545.39,-0.01,0.00%,1193700
11/15/2023,548.89,550.67,541.58,545.4,-0.04,-0.01%,881400
11/14/2023,540.79,546.25,534.27,545.44,17.19,+3.25%,1130400
11/13/2023,530,531.99,524.025,528.25,-6,-1.12%,1045100
11/10/2023,516.05,536.14,512.02,534.25,27.86,+5.50%,1295100
11/09/2023,511.34,521,505.5,506.39,-4.77,-0.93%,1019700
11/08/2023,505.42,511.68,504.6601,511.16,8.04,+1.60%,881400
11/07/2023,499.31,507.39,498.57,503.12,4.26,+0.85%,611400
11/06/2023,500.8,503.67,495.1,498.86,-0.76,-0.15%,705900
11/03/2023,494.19,503.48,493.6,499.62,10.28,+2.10%,760800
11/02/2023,488.63,493.41,484.33,489.34,12.81,+2.69%,1254800
11/01/2023,472.29,477.22,465.77,476.53,6.83,+1.45%,1239000
10/31/2023,459.7,474.43,453.5,469.7,10.16,+2.21%,1315300
10/30/2023,458.27,463.23,452.03,459.54,1.61,+0.35%,687900
10/27/2023,458.65,464.23,455,457.93,-0.31,-0.07%,746200
10/26/2023,458.64,478.4355,452.01,458.24,3.4,+0.75%,1589000
10/25/2023,464.01,467.21,452.45,454.84,-15.42,-3.28%,1515000
10/24/2023,467.99,472.335,463.59,470.26,7.7,+1.66%,855600
10/23/2023,459,469.08,455.08,462.56,0.12,+0.03%,620100
10/20/2023,465.05,470.84,461.48,462.44,-2.61,-0.56%,914500
10/19/2023,485.94,485.94,462.08,465.05,-14.35,-2.99%,1245400
10/18/2023,478.47,483,470.5819,479.4,-6.95,-1.43%,800400
10/17/2023,483.94,487.57,473.12,486.35,-4.86,-0.99%,777500
10/16/2023,486.81,494.965,485.2,491.21,4.4,+0.90%,806000
10/13/2023,501.11,504.65,484.525,486.81,-14.3,-2.85%,1157200
10/12/2023,485,506.92,485,501.11,18.48,+3.83%,1428800
10/11/2023,476.75,483.19,475.87,482.63,8.49,+1.79%,912900
10/10/2023,469.08,477.6,467.1243,474.14,7.37,+1.58%,839400
10/09/2023,462.54,467.65,459,466.77,-1.28,-0.27%,634600
10/06/2023,455.95,471.14,449.35,468.05,6.97,+1.51%,995900
10/05/2023,461.31,464.57,456.1725,461.08,0.03,+0.01%,881900
10/04/2023,455.26,462.03,452.33,461.05,9.21,+2.04%,748300
10/03/2023,455.66,463.515,448.31,451.84,-8.79,-1.91%,758800
10/02/2023,459.1,466.0899,454.925,460.63,1.97,+0.43%,716500
09/29/2023,466.65,469.23,457.8,458.66,0.57,+0.12%,815400
09/28/2023,444.69,463.01,443.71,458.09,12.53,+2.81%,851800
09/27/2023,450.1,451.62,440.15,445.56,0.4,+0.09%,1059600
09/26/2023,450.45,451.6434,442.69,445.16,-10.23,-2.25%,1008100
09/25/2023,448.99,456.32,447.01,455.39,3.57,+0.79%,630500
09/22/2023,451.51,458.76,450.73,451.82,4.9,+1.10%,800800
09/21/2023,446,450.44,444.55,446.92,-5.26,-1.16%,1055000
