Time,Open,High,Low,Last,Change,%Chg,Volume
12/29/2023,148.5,149.67,148.06,149.04,-0.14,-0.09%,1437400
12/28/2023,149,149.82,148.39,149.18,-0.12,-0.08%,1031000
12/27/2023,148.26,149.875,147.54,149.3,1.1,+0.74%,1231800
12/26/2023,147.94,148.5025,147.2134,148.2,0.78,+0.53%,914000
12/22/2023,148.53,148.865,146.501,147.42,-0.49,-0.33%,1294200
12/21/2023,148.71,149.475,146.09,147.91,1.12,+0.76%,2081100
12/20/2023,148.09,150.08,146.72,146.79,-1.86,-1.25%,1709400
12/19/2023,148.62,149.7,147.62,148.65,1.37,+0.93%,2133700
12/18/2023,149.21,149.33,144.91,147.28,-2,-1.34%,2720600
12/15/2023,146.23,156.01,144,149.28,-5.53,-3.57%,8807300
12/14/2023,147.87,155.43,147.25,154.81,9.65,+6.65%,4738000
12/13/2023,141.19,145.91,139.6838,145.16,4.63,+3.29%,3569400
12/12/2023,139.78,141.1,139.1,140.53,0.89,+0.64%,1598800
12/11/2023,139.05,140.41,137.945,139.64,0.06,+0.04%,1870200
12/08/2023,136.82,140,136.69,139.58,2.11,+1.53%,1689200
12/07/2023,135.31,137.56,135.31,137.47,2.1,+1.55%,1841700
12/06/2023,133.25,137.1,132.27,135.37,3.47,+2.63%,3181500
12/05/2023,131.68,131.99,130.55,131.9,0.39,+0.30%,1170700
12/04/2023,130.92,131.96,130.29,131.51,-0.07,-0.05%,1368700
12/01/2023,128.03,131.67,127.9401,131.58,3.66,+2.86%,1757300
11/30/2023,126.4,128.07,125.17,127.92,1.08,+0.85%,2462000
11/29/2023,127.66,128.08,126.66,126.84,0.78,+0.62%,1585100
11/28/2023,126.46,127.16,125.5519,126.06,-0.78,-0.61%,1230500
11/27/2023,126.08,127.27,126.08,126.84,-0.79,-0.62%,1027200
11/24/2023,127.27,128.01,126.77,127.63,0.2,+0.16%,426900
11/22/2023,127.69,128.77,126.61,127.43,0.65,+0.51%,978600
11/21/2023,127.74,128.48,126.73,126.78,-1.52,-1.18%,1229100
11/20/2023,126.79,128.3633,126.03,128.3,0.81,+0.64%,1157400
11/17/2023,127.9,128.32,127.12,127.49,0.41,+0.32%,1810200
11/16/2023,127.06,128.085,126.37,127.08,0.23,+0.18%,1720100
11/15/2023,128.05,129.28,126.8,126.85,-1.41,-1.10%,2106700
11/14/2023,126.9,131.27,126.66,128.26,6.01,+4.92%,3340800
11/13/2023,122.69,122.865,120.5,122.25,0.05,+0.04%,1483900
11/10/2023,120.34,122.65,119.145,122.2,2.57,+2.15%,1431400
11/09/2023,120.94,122.1699,118.92,119.63,-1.25,-1.03%,1244700
11/08/2023,120.57,121.7425,119.69,120.88,0.47,+0.39%,1487700
11/07/2023,118.84,121.58,118.58,120.41,1.69,+1.42%,1793500
11/06/2023,117.89,119.32,116.621,118.72,-1.1,-0.92%,1717800
11/03/2023,118.84,122.079,118.84,119.82,3.96,+3.42%,2621500
11/02/2023,114.07,117.29,113.44,115.86,4.64,+4.17%,2700300
11/01/2023,106.66,111.48,105.74,111.22,4.54,+4.26%,2641600
10/31/2023,104.91,107.22,104.68,106.68,2.16,+2.07%,1752800
10/30/2023,104.64,105.39,103.41,104.52,0.73,+0.70%,2128800
10/27/2023,104.34,104.69,103.345,103.79,-0.14,-0.13%,1346400
10/26/2023,103.67,105.46,102.9,103.93,0.86,+0.83%,2346300
10/25/2023,104.45,104.69,102.96,103.07,-1.86,-1.77%,1920500
10/24/2023,105.16,106.4525,103.965,104.93,-0.37,-0.35%,1766800
10/23/2023,103.84,106.32,103.47,105.3,1.51,+1.45%,1790200
10/20/2023,104.68,105.3,103.55,103.79,-0.82,-0.78%,1619000
10/19/2023,107.02,107.325,104.2,104.61,-2.17,-2.03%,2172800
10/18/2023,108.3,109.01,106.742,106.78,-2.85,-2.60%,1647000
10/17/2023,109.01,111.13,108.69,109.63,0.05,+0.05%,1686800
10/16/2023,110.24,110.49,108.45,109.58,0.28,+0.26%,1501400
10/13/2023,108.5,110.42,108.21,109.3,0.84,+0.77%,2053200
10/12/2023,112.56,113.21,107.6747,108.46,-5.81,-5.08%,2135300
10/11/2023,113.53,114.99,112.68,114.27,1.2,+1.06%,1831800
10/10/2023,111.48,114.725,111.48,113.07,1.8,+1.62%,2427700
10/09/2023,108.16,111.41,107.53,111.27,2.05,+1.88%,1537400
10/06/2023,107.43,109.96,106.5,109.22,0.58,+0.53%,2017800
10/05/2023,108.59,109.6843,107.74,108.64,-0.33,-0.30%,2009900
10/04/2023,108.9,109.59,107.79,108.97,0.74,+0.68%,2782800
10/03/2023,110.1,110.77,107.39,108.23,-2.92,-2.63%,2855200
10/02/2023,111.42,113.24,110.08,111.15,-1.08,-0.96%,2556400
09/29/2023,115.18,116.58,111.8,112.23,-1.97,-1.73%,1873000
09/28/2023,111.83,114.36,111.4,114.2,2.5,+2.24%,2566600
09/27/2023,112.85,113.92,111.36,111.7,-0.24,-0.21%,2977800
09/26/2023,112.52,113.34,111.785,111.94,-1.13,-1.00%,2167700
09/25/2023,112.7,114.04,112.36,113.07,-0.43,-0.38%,2094100
09/22/2023,114.34,114.76,112.6499,113.5,0.37,+0.33%,2310700
09/21/2023,114.54,114.66,111.6904,113.13,-3.4,-2.92%,2928300
09/20/2023,117.87,119.42,116.38,116.53,-0.76,-0.65%,1978500
09/19/2023,116.87,118.31,115.3,117.29,0.25,+0.21%,2373500
09/18/2023,115.06,117.4184,114.58,117.04,2.28,+1.99%,3339900
09/15/2023,110.16,115.1,110,114.76,-2.94,-2.50%,6402200
09/14/2023,117.06,117.88,115.835,117.7,1.73,+1.49%,3063600
09/13/2023,117.01,117.48,114.06,115.97,-0.54,-0.46%,1878500
09/12/2023,119.01,120.67,116.15,116.51,-3.25,-2.71%,2120000
09/11/2023,118.74,121.52,118.74,119.76,1.09,+0.92%,1617500
09/08/2023,117.68,119.645,117.54,118.67,0.59,+0.50%,1604600
09/07/2023,116.44,118.61,115.36,118.08,1.14,+0.97%,2080400
09/06/2023,115.49,117.07,115,116.94,2.21,+1.93%,1639400
09/05/2023,120.23,120.305,114.44,114.73,-5.93,-4.91%,2189000
09/01/2023,119.62,121.2,119.37,120.66,1.57,+1.32%,1494600
08/31/2023,119.15,119.4,118.455,119.09,-0.18,-0.15%,1826100
08/30/2023,116.78,119.74,116.01,119.27,2.7,+2.32%,3926700
08/29/2023,113.91,116.98,113.105,116.57,2.52,+2.21%,2501100
08/28/2023,114.42,114.86,113.13,114.05,0.01,+0.01%,2109700
08/25/2023,116.15,116.58,112.175,114.04,-1.85,-1.60%,2418000
08/24/2023,116.87,117.8,115.84,115.89,-1.28,-1.09%,1561000
08/23/2023,117.09,117.97,116,117.17,0.62,+0.53%,3390500
08/22/2023,116.69,117.22,115.6,116.55,0.72,+0.62%,1487900
08/21/2023,117,117.1899,114.46,115.83,-1.17,-1.00%,1653900
08/18/2023,116.23,118.68,115.89,117,-0.05,-0.04%,2423100
08/17/2023,123.66,124.44,116.97,117.05,-5.62,-4.58%,3795000
08/16/2023,125.38,126.04,122.61,122.67,-3.39,-2.69%,2071100
08/15/2023,124.81,126.93,122.7,126.06,2.19,+1.77%,2262600
08/14/2023,123.23,123.89,122.2,123.87,0.64,+0.52%,1636100
08/11/2023,123.22,124.88,123.07,123.23,-0.14,-0.11%,1487000
08/10/2023,126.47,127.4744,122.81,123.37,-2.21,-1.76%,1863800
08/09/2023,126.92,127.535,125.5,125.58,-1.45,-1.14%,1335000
08/08/2023,126.83,127.51,125.55,127.03,-0.28,-0.22%,1378000
08/07/2023,125.19,127.38,125.19,127.31,1.74,+1.39%,1332500
08/04/2023,123.57,126.22,122.71,125.57,2.93,+2.39%,1980000
08/03/2023,124.49,124.58,121.38,122.64,-2.55,-2.04%,2145500
08/02/2023,125.87,126.255,124.05,125.19,-1.81,-1.43%,1482400
08/01/2023,126.19,127.3516,126.05,127,0.17,+0.13%,1228800
07/31/2023,128.33,128.51,125.59,126.83,-0.95,-0.74%,1832300
07/28/2023,127.31,128.17,126.487,127.78,1.96,+1.56%,1311400
07/27/2023,128.01,128.31,125.58,125.82,-1.4,-1.10%,1803500
07/26/2023,127.02,128.63,126.02,127.22,-0.32,-0.25%,2156800
07/25/2023,128.17,129.06,127.105,127.54,0.24,+0.19%,2488100
07/24/2023,126.9,128.16,126.435,127.3,0.65,+0.51%,1316000
07/21/2023,126.49,127.39,126.05,126.65,0.5,+0.40%,1974000
07/20/2023,131.29,131.95,124.8,126.15,-4.6,-3.52%,2659500
07/19/2023,130.66,130.92,129.38,130.75,-0.24,-0.18%,1908800
07/18/2023,130.95,132.34,130.87,130.99,0.6,+0.46%,1855400
07/17/2023,131.66,132.5,129.94,130.39,-2.85,-2.14%,2546300
07/14/2023,131.38,133.24,130.765,133.24,3.16,+2.43%,1871600
07/13/2023,128.58,130.46,128.13,130.08,1.8,+1.40%,2384700
07/12/2023,126.27,128.3,125.61,128.28,3.37,+2.70%,2019200
07/11/2023,123.97,125.1003,123.36,124.91,1.45,+1.17%,1388400
07/10/2023,119.93,123.47,119.77,123.46,3.25,+2.70%,1957000
07/07/2023,120.12,121.43,119.69,120.21,-0.31,-0.26%,2392800
07/06/2023,121.88,122.29,119.62,120.52,-3.77,-3.03%,2805900
07/05/2023,125.56,125.99,123.6,124.29,-0.99,-0.79%,1966600
07/03/2023,125.71,125.9,124.28,125.28,-0.03,-0.02%,952900
06/30/2023,125,125.69,124.25,125.31,1.53,+1.24%,2537700
06/29/2023,124.6,124.64,122.91,123.78,-1.68,-1.34%,2294600
06/28/2023,125.96,127.0842,125.0888,125.46,-0.6,-0.48%,3639500
06/27/2023,121.8,126.35,121.7301,126.06,4.99,+4.12%,3136100
06/26/2023,122.75,123.04,120.41,121.07,-1.23,-1.01%,1438700
06/23/2023,121.07,122.485,120.795,122.3,0.98,+0.81%,2315800
06/22/2023,121.75,121.91,120.635,121.32,-0.33,-0.27%,1819800
06/21/2023,121.09,122.16,120.4,121.65,0.07,+0.06%,2520900
06/20/2023,121.46,123.06,121.125,121.58,1.56,+1.30%,3059900
06/16/2023,120.77,121.95,119.85,120.02,0.21,+0.18%,4575900
06/15/2023,118.88,120.36,117.04,119.81,5.06,+4.41%,5696600
06/14/2023,116.73,117.34,114.56,114.75,-1.26,-1.09%,3990800
06/13/2023,115.99,117.2,115.645,116.01,0.61,+0.53%,2482900
06/12/2023,114.98,116.97,113.92,115.4,1.2,+1.05%,6555800
06/09/2023,113.62,114.71,112.84,114.2,0.83,+0.73%,1814200
06/08/2023,113.91,114.89,113.095,113.37,-0.63,-0.55%,2525800
