Time,Open,High,Low,Last,Change,%Chg,Volume
12/29/2023,787.51,790.0854,778,783.26,-6.41,-0.81%,519100
12/28/2023,797.8,798.72,789.01,789.67,-5.26,-0.66%,600700
12/27/2023,799,801.29,790.3,794.93,-0.78,-0.10%,762400
12/26/2023,783.04,799.8698,783.04,795.71,15.72,+2.02%,694200
12/22/2023,776.92,784.1,773.62,779.99,3.07,+0.40%,525100
12/21/2023,778.5,779.25,763.5,776.92,21.99,+2.91%,934800
12/20/2023,772.05,780.5,754.42,754.93,-26.08,-3.34%,1140800
12/19/2023,772.22,781.84,768.73,781.01,11.09,+1.44%,890500
12/18/2023,775.6,779,757.505,769.92,-3.58,-0.46%,884200
12/15/2023,769.33,779.68,767.5702,773.5,6.29,+0.82%,1781700
12/14/2023,740.36,771.275,738.775,767.21,32.56,+4.43%,1723400
12/13/2023,732.95,740.59,721.49,734.65,3.41,+0.47%,888900
12/12/2023,733,738.8,727.11,731.24,-4.35,-0.59%,1201900
12/11/2023,710.24,737.99,708.395,735.59,32.42,+4.61%,1584900
12/08/2023,699.46,711.17,699.02,703.17,-4.86,-0.69%,794300
12/07/2023,703.16,710.32,697.21,708.03,13.16,+1.89%,900900
12/06/2023,708.99,709.9799,693.47,694.87,-2.27,-0.33%,634800
12/05/2023,696.34,699.9504,687.18,697.14,-12.92,-1.82%,1220100
12/04/2023,715.6,716.545,702.045,710.06,-12.02,-1.66%,903500
12/01/2023,712.08,722.59,708.12,722.08,6.16,+0.86%,692000
11/30/2023,718.8,718.8,706.37,715.92,1.93,+0.27%,1292300
11/29/2023,720,725.4651,713.05,713.99,3.6,+0.51%,812500
11/28/2023,712.33,717.43,704.49,710.39,-12.06,-1.67%,905300
11/27/2023,715,730.985,710.68,722.45,4.95,+0.69%,681900
11/24/2023,716.48,722.13,715,717.5,0.04,+0.01%,300500
11/22/2023,715,728.225,713.4,717.46,10.09,+1.43%,782200
11/21/2023,716.03,716.03,703.48,707.37,-11.78,-1.64%,870800
11/20/2023,697.33,721,697.33,719.15,18.81,+2.69%,1026700
11/17/2023,691.56,701.56,688,700.34,-0.1,-0.01%,1026500
11/16/2023,699,706.34,695.84,700.44,2.54,+0.36%,1004600
11/15/2023,698.2,699.56,691.53,697.9,2.98,+0.43%,629400
11/14/2023,691,696.175,683.91,694.92,21.49,+3.19%,955400
11/13/2023,680,680.01,670.55,673.43,-12,-1.75%,815900
11/10/2023,661.08,687.87,656.35,685.43,35.17,+5.41%,1373800
11/09/2023,650,668.5,648.51,650.26,2.68,+0.41%,1219600
