Time,Open,High,Low,Last,Change,%Chg,Volume
12/29/2023,306.77,307.2184,303.7602,304.55,-2.11,-0.69%,55400
12/28/2023,308.13,308.6,306.54,306.66,-1.33,-0.43%,42700
12/27/2023,307.49,308.84,307.45,307.99,0.93,+0.30%,59800
12/26/2023,306.09,307.6021,306,307.06,1.64,+0.54%,32100
12/22/2023,306.58,307.705,304.49,305.42,-2.02,-0.66%,70200
12/21/2023,305.67,307.52,304.33,307.44,5.01,+1.66%,150400
12/20/2023,307.08,309.7,302.43,302.43,-5.8,-1.88%,39800
12/19/2023,306.58,308.5542,306.58,308.23,2.47,+0.81%,91300
12/18/2023,304.73,306.6,304.16,305.76,1.97,+0.65%,57900
12/15/2023,303.35,304.54,302.78,303.79,-0.06,-0.02%,47400
12/14/2023,301.64,304.54,301.64,303.85,4.87,+1.63%,70400
12/13/2023,294.25,299.15,291.765,298.98,4.74,+1.61%,44000
12/12/2023,293.61,294.535,292.2963,294.24,0.57,+0.19%,75800
12/11/2023,292.22,294.14,292.22,293.67,0.93,+0.32%,43200
12/08/2023,289.9,293.275,289.9,292.74,1.23,+0.42%,46000
12/07/2023,290.2,291.67,288.97,291.51,2.43,+0.84%,56300
12/06/2023,290.51,292.02,288.9,289.08,0.48,+0.17%,31400
12/05/2023,286.95,290.9385,286.95,288.6,-0.54,-0.19%,43300
12/04/2023,287.7,290.14,287.49,289.14,-0.53,-0.18%,51500
12/01/2023,283.33,289.67,283.33,289.67,5.11,+1.80%,93400
11/30/2023,285.14,285.14,282.8935,284.56,-0.49,-0.17%,36200
11/29/2023,287.7,289.17,284.9763,285.05,-0.29,-0.10%,191200
11/28/2023,283.63,285.76,282.75,285.34,1.32,+0.46%,401800
11/27/2023,283.64,285.35,282.64,284.02,0.38,+0.13%,51000
11/24/2023,282.52,283.86,282.52,283.64,0.19,+0.07%,18400
11/22/2023,282.8,284.55,282.49,283.45,1.8,+0.64%,69400
11/21/2023,280.85,281.908,279.88,281.65,-1.08,-0.38%,103000
11/20/2023,280.88,283.24,280.6448,282.73,1.49,+0.53%,52200
11/17/2023,279.7,281.7238,278.9249,281.24,2.29,+0.82%,37300
11/16/2023,279.4,280.74,277.7,278.95,-2.73,-0.97%,48000
11/15/2023,282.28,283.8995,280.795,281.68,0.8,+0.28%,158200
11/14/2023,278.09,281.7727,277.93,280.88,9.82,+3.62%,54600
11/13/2023,269.08,272,267.885,271.06,0.75,+0.28%,50500
11/10/2023,266.43,270.52,265.42,270.31,4.07,+1.53%,56400
11/09/2023,270.89,270.89,265.4,266.24,-5.14,-1.89%,43700
11/08/2023,272.7,272.7,269.855,271.38,-1.03,-0.38%,59000
11/07/2023,270,272.63,269.55,272.41,2.91,+1.08%,43100
11/06/2023,270.61,271,268,269.5,-0.33,-0.12%,46000
11/03/2023,267.8,271,267.8,269.83,4.29,+1.62%,82300
11/02/2023,262.86,265.54,262.7,265.54,6.97,+2.70%,59600
11/01/2023,256.53,258.83,255.0601,258.57,3.2,+1.25%,54800
10/31/2023,253.46,256.17,252.8756,255.37,1.94,+0.77%,61500
10/30/2023,253.05,254.49,251.36,253.43,2.73,+1.09%,88500
10/27/2023,252.16,254.57,249.98,250.7,2.81,+1.13%,948100
10/26/2023,251.09,252.5,247.52,247.89,-3.57,-1.42%,366800
10/25/2023,254.98,254.98,251.2101,251.46,-5.73,-2.23%,74900
10/24/2023,256.32,258.63,255.36,257.19,2.7,+1.06%,127700
10/23/2023,252.9,257.505,250.7,254.49,0.01,0.00%,53800
10/20/2023,257.36,257.7614,254.17,254.48,-3.49,-1.35%,63200
10/19/2023,262.41,263.4032,257.12,257.97,-6.06,-2.30%,46000
10/18/2023,268.01,268.15,263.67,264.03,-6.22,-2.30%,44000
10/17/2023,266.98,271.73,266.98,270.25,0.85,+0.32%,41900
10/16/2023,265.85,270.0154,265.85,269.4,4.85,+1.83%,28000
10/13/2023,268.83,268.855,263.8985,264.55,-3.49,-1.30%,32200
10/12/2023,271.8,271.8,266.627,268.04,-3.63,-1.34%,37100
10/11/2023,271.58,273,269.44,271.67,0.86,+0.32%,33700
10/10/2023,267.99,273.035,267.9,270.81,3.5,+1.31%,66900
10/09/2023,263.68,267.7899,262.5,267.31,0.48,+0.18%,70600
10/06/2023,262.29,267.82,260.8418,266.83,2.13,+0.80%,67700
10/05/2023,266.2,266.2,263.13,264.7,-1.93,-0.72%,53500
10/04/2023,263.49,267.49,263.49,266.63,4.03,+1.53%,79400
10/03/2023,267.61,267.61,261.49,262.6,-6.77,-2.51%,56300
10/02/2023,267.79,271.23,267.79,269.37,0,0.00%,79000
09/29/2023,271.51,272.29,268.133,269.37,1.44,+0.54%,32600
09/28/2023,264.05,268.9,263.77,267.93,2.08,+0.78%,62500
