Time,Open,High,Low,Last,Change,%Chg,Volume
12/29/2023,486.98,487.6,481.91,484,-2.79,-0.57%,533100
12/28/2023,487.46,487.84,486.35,486.79,0.32,+0.07%,320700
12/27/2023,486.22,487.14,484.18,486.47,0.47,+0.10%,638900
12/26/2023,484.59,487.08,484.3,486,2.39,+0.49%,319200
12/22/2023,484.54,485.0975,481.3,483.61,0.47,+0.10%,395200
12/21/2023,482,483.92,478.74,483.14,5.92,+1.24%,408500
12/20/2023,484.22,486.325,477.17,477.22,-7.78,-1.60%,397100
12/19/2023,482.69,485,482.52,485,1.67,+0.35%,383300
12/18/2023,481.85,484.47,480.12,483.33,1.11,+0.23%,1244900
12/15/2023,479.65,484.4941,479.65,482.22,2.31,+0.48%,553100
12/14/2023,480.1,483,475.8841,479.91,0.93,+0.19%,595400
12/13/2023,474.68,480.02,473.25,478.98,5.47,+1.16%,593000
12/12/2023,469.24,473.58,468.425,473.51,2.81,+0.60%,343200
12/11/2023,466.01,470.77,465.1,470.7,3.22,+0.69%,698600
12/08/2023,462.27,467.89,462,467.48,4.14,+0.89%,323200
12/07/2023,460.08,463.95,458.97,463.34,4.95,+1.08%,383800
12/06/2023,464.86,465.19,458.05,458.39,-4.02,-0.87%,320900
12/05/2023,457.79,462.8535,457.79,462.41,2.49,+0.54%,898100
12/04/2023,460.44,460.44,454.77,459.92,-4.73,-1.02%,408000
12/01/2023,461.09,465,459.22,464.65,2.62,+0.57%,441500
11/30/2023,464.08,464.575,458.1801,462.03,-0.13,-0.03%,321900
11/29/2023,464.19,466.67,461.58,462.16,1.79,+0.39%,344900
11/28/2023,458.17,461.74,458.1,460.37,0.85,+0.18%,361300
11/27/2023,459.06,462.135,457.99,459.52,-0.24,-0.05%,439300
11/24/2023,459.49,460.05,457.97,459.76,-0.5,-0.11%,165000
11/22/2023,461.06,464.45,459.22,460.26,1.68,+0.37%,386400
11/21/2023,460.59,461.12,457.04,458.58,-3.84,-0.83%,1214200
11/20/2023,456.29,463.56,456.29,462.42,6.43,+1.41%,448700
11/17/2023,455.21,457.27,453.8048,455.99,0.2,+0.04%,931500
11/16/2023,453.61,456.59,452.4701,455.79,1.01,+0.22%,391900
11/15/2023,456,457.6,453.015,454.78,0.59,+0.13%,485200
11/14/2023,450.85,454.9818,450.235,454.19,10.73,+2.42%,582200
11/13/2023,444,444.49,441.29,443.46,-2.23,-0.50%,576900
11/10/2023,436.99,445.84,436.4,445.69,11.47,+2.64%,404300
11/09/2023,438.29,440.94,433.795,434.22,-2.62,-0.60%,280800
11/08/2023,436.05,438,434,436.84,1.81,+0.42%,368200
11/07/2023,431.23,436.23,430.56,435.03,5.21,+1.21%,385600
11/06/2023,428.55,430.2912,425.99,429.82,1.94,+0.45%,481500
11/03/2023,421.85,429.5,421.15,427.88,6,+1.42%,351500
11/02/2023,419.33,422.15,418.22,421.88,7.39,+1.78%,430200
11/01/2023,408.43,414.78,408.43,414.49,6.69,+1.64%,389700
10/31/2023,405.06,408.3683,401.89,407.8,3.05,+0.75%,268300
10/30/2023,403.38,406.39,401.445,404.75,3.53,+0.88%,327300
10/27/2023,402.34,405.32,399.57,401.22,1.66,+0.42%,1001600
10/26/2023,407.26,409.28,397.76,399.56,-7.2,-1.77%,505500
10/25/2023,414.3,414.76,405.7659,406.76,-6.83,-1.65%,409100
10/24/2023,412,414.08,408.97,413.59,3.64,+0.89%,440200
10/23/2023,407,414.2794,404.6365,409.95,0.07,+0.02%,394700
10/20/2023,416.73,417.33,409.4115,409.88,-7.36,-1.76%,577100
10/19/2023,422.25,424.555,416.65,417.24,-2.99,-0.71%,435400
10/18/2023,422.61,425.44,418.93,420.23,-5.84,-1.37%,318300
10/17/2023,422.01,428.45,419.54,426.07,-1.83,-0.43%,397900
10/16/2023,423.61,429.65,423.61,427.9,4.86,+1.15%,260200
10/13/2023,430.79,431.46,421.7669,423.04,-6.89,-1.60%,992700
10/12/2023,431.29,434.76,426.74,429.93,-1.02,-0.24%,367000
10/11/2023,429,431.09,427.01,430.95,3.39,+0.79%,333500
10/10/2023,426.52,431,425.75,427.56,1.41,+0.33%,1059500
10/09/2023,420.98,426.86,419.36,426.15,1.95,+0.46%,456800
10/06/2023,412.94,425.6831,412,424.2,8.34,+2.01%,657700
10/05/2023,415.75,416.6,411.24,415.86,0.36,+0.09%,494700
