Time,Open,High,Low,Last,Change,%Chg,Volume
12/29/2023,85.59,85.78,85.365,85.54,-0.34,-0.40%,3496100
12/28/2023,86.06,86.205,85.805,85.88,-0.33,-0.38%,3607000
12/27/2023,85.84,86.3,85.74,86.21,0.21,+0.24%,3409800
12/26/2023,85.71,86.25,85.6,86,0.4,+0.47%,3365700
12/22/2023,85.39,85.79,85.24,85.6,0.53,+0.62%,2693300
12/21/2023,84.89,85.085,84.5,85.07,0.89,+1.06%,3772300
12/20/2023,85.26,85.47,84.16,84.18,-1.31,-1.53%,4679500
12/19/2023,85.26,85.6899,85.165,85.49,0.78,+0.92%,3642700
12/18/2023,85.22,85.4,84.65,84.71,-0.46,-0.54%,4026400
12/15/2023,84.92,85.7,84.92,85.17,-0.22,-0.26%,5405500
12/14/2023,84.51,85.855,84.51,85.39,1.39,+1.65%,6356600
12/13/2023,82.09,84.04,81.882,84,1.01,+1.22%,8196200
12/12/2023,83.28,83.6,82.59,82.99,0.48,+0.58%,10217500
12/11/2023,81.78,82.52,81.63,82.51,0.58,+0.71%,4602900
12/08/2023,81.57,82.32,81.57,81.93,0.3,+0.37%,4123400
12/07/2023,81.39,81.72,81.15,81.63,0.55,+0.68%,4279700
12/06/2023,81.61,81.88,81.005,81.08,-0.17,-0.21%,8455100
12/05/2023,81.97,82.02,81.06,81.25,-1.13,-1.37%,8766700
12/04/2023,82.66,83.26,82.34,82.38,-0.97,-1.16%,10615000
12/01/2023,82.53,83.635,82.34,83.35,0.94,+1.14%,8391300
11/30/2023,81.65,82.48,81.38,82.41,0.81,+0.99%,5741200
11/29/2023,81.49,81.97,81.41,81.6,0.42,+0.52%,3122100
11/28/2023,81.02,81.62,80.78,81.18,0.16,+0.20%,3498100
11/27/2023,80.82,81.11,80.47,81.02,-0.1,-0.12%,3262300
11/24/2023,80.78,81.39,80.78,81.12,0.35,+0.43%,1844900
11/22/2023,80.72,80.89,80.36,80.77,0.05,+0.06%,3761400
11/21/2023,80.65,81.02,80.59,80.72,0.31,+0.39%,3681500
11/20/2023,80.15,80.655,79.72,80.41,0.14,+0.17%,4817200
11/17/2023,80.37,80.54,80.025,80.27,0.15,+0.19%,3445100
11/16/2023,79.86,80.21,79.65,80.12,0.24,+0.30%,3582700
11/15/2023,79.71,80.61,79.63,79.88,0.35,+0.44%,4909800
11/14/2023,78.15,79.89,78.135,79.53,2.28,+2.95%,5497900
11/13/2023,76.91,77.57,76.81,77.25,-0.11,-0.14%,4039700
11/10/2023,76.53,77.42,76.43,77.36,0.9,+1.18%,3624100
11/09/2023,77.64,77.65,76.405,76.46,-0.66,-0.86%,6938900
11/08/2023,77.07,77.335,76.62,77.12,0.24,+0.31%,5470800
11/07/2023,77.64,77.7001,76.78,76.88,-1.52,-1.94%,7507900
11/06/2023,78.81,78.86,78.23,78.4,-0.39,-0.49%,4668700
11/03/2023,78.21,79.33,78.21,78.79,1.22,+1.57%,6064700
11/02/2023,76.6,77.6,76.55,77.57,1.47,+1.93%,6550600
11/01/2023,75.95,76.27,75.315,76.1,0.04,+0.05%,8780400
10/31/2023,75.59,76.275,75.4,76.06,0.34,+0.45%,5581300
10/30/2023,75.71,76.02,75.175,75.72,0.77,+1.03%,5977100
10/27/2023,75.01,75.5072,74.77,74.95,-0.03,-0.04%,8236600
10/26/2023,75,75.655,74.76,74.98,0.52,+0.70%,8776600
10/25/2023,75.19,75.32,74.4,74.46,-0.88,-1.17%,6269900
10/24/2023,75.07,75.79,74.945,75.34,0.88,+1.18%,7424100
10/23/2023,74.57,75.24,74.33,74.46,-0.84,-1.12%,9138000
10/20/2023,76.19,76.34,75.27,75.3,-0.92,-1.21%,7161200
10/19/2023,76.84,77.48,76.12,76.22,-0.9,-1.17%,9233100
10/18/2023,78.65,78.65,77.015,77.12,-2.05,-2.59%,6508600
10/17/2023,77.83,79.44,77.83,79.17,0.77,+0.98%,5818300
10/16/2023,78.22,78.92,77.96,78.4,0.76,+0.98%,6181900
10/13/2023,78.32,78.66,77.3,77.64,-0.29,-0.37%,5634600
10/12/2023,79.45,79.45,77.33,77.93,-1.18,-1.49%,6063200
10/11/2023,79.24,79.5602,78.45,79.11,0.19,+0.24%,4929400
10/10/2023,78.53,79.57,78.415,78.92,0.83,+1.06%,6855000
10/09/2023,77.54,78.32,77.16,78.09,0.1,+0.13%,6487300
10/06/2023,77.06,78.53,76.78,77.99,0.73,+0.94%,8043100
10/05/2023,78.01,78.43,76.79,77.26,-0.95,-1.21%,10237100
10/04/2023,78.1,78.34,77.16,78.21,0.91,+1.18%,8977000
10/03/2023,76.72,78.28,76.72,77.3,-0.21,-0.27%,13179000
10/02/2023,78.24,78.35,76.98,77.51,-1.04,-1.32%,11299300
09/29/2023,79.43,79.44,78.34,78.55,-0.13,-0.17%,5857100
09/28/2023,77.98,78.955,77.98,78.68,0.84,+1.08%,4699100
09/27/2023,78.24,78.345,77.38,77.84,-0.01,-0.01%,5515500
09/26/2023,78.51,78.93,77.63,77.85,-1.14,-1.44%,5475900
09/25/2023,78.07,79.03,78.02,78.99,0.62,+0.79%,4122900
09/22/2023,78.66,79.045,78.23,78.37,-0.08,-0.10%,6017500
09/21/2023,79.52,79.55,78.42,78.45,-1.61,-2.01%,6779700
09/20/2023,81.22,81.42,80.01,80.06,-0.85,-1.05%,4649800
09/19/2023,80.93,81.285,80.21,80.91,-0.07,-0.09%,4084000
09/18/2023,81.22,81.4,80.73,80.98,-0.73,-0.89%,3683200
09/15/2023,82.4,82.7601,81.575,81.71,-0.92,-1.11%,6987700
09/14/2023,82.33,82.795,82.025,82.63,1.15,+1.41%,4334500
09/13/2023,81.92,82.09,81.25,81.48,-0.48,-0.59%,4585400
09/12/2023,81.88,82.34,81.775,81.96,-0.19,-0.23%,4210600
09/11/2023,82.33,82.725,81.99,82.15,0.35,+0.43%,4035200
09/08/2023,81.56,82.15,81.55,81.8,0.08,+0.10%,3493100
09/07/2023,81.76,82.05,81.115,81.72,-0.37,-0.45%,4437200
09/06/2023,81.98,82.47,81.45,82.09,-0.18,-0.22%,4653100
09/05/2023,83.69,83.76,82.27,82.27,-1.55,-1.85%,6463200
09/01/2023,83.68,84.04,83.495,83.82,0.93,+1.12%,5912600
08/31/2023,83.07,83.28,82.8,82.89,-0.04,-0.05%,3279900
08/30/2023,82.74,83.08,82.595,82.93,0.19,+0.23%,3798600
08/29/2023,81.44,82.7799,81.16,82.74,1.35,+1.66%,5875500
08/28/2023,81.02,81.78,80.98,81.39,0.59,+0.73%,5050900
08/25/2023,80.93,81.17,80.12,80.8,0.24,+0.30%,5378900
08/24/2023,80.53,81.255,80.45,80.56,-0.34,-0.42%,4070200
08/23/2023,80.76,81.175,80.555,80.9,0.13,+0.16%,3502200
08/22/2023,81.22,81.359,80.525,80.77,-0.07,-0.09%,3609000
