Time,Open,High,Low,Last,Change,%Chg,Volume
12/29/2023,72.95,73.05,72.37,72.66,-0.44,-0.60%,4744400
12/28/2023,72.99,73.3578,72.99,73.1,0.2,+0.27%,5465700
12/27/2023,72.9,73.03,72.635,72.9,0.01,+0.01%,4508600
12/26/2023,72.72,72.9799,72.57,72.89,0.28,+0.39%,2461800
12/22/2023,72.75,73.095,72.27,72.61,0.01,+0.01%,4763800
12/21/2023,72.47,72.66,71.99,72.6,0.71,+0.99%,4867100
12/20/2023,72.51,73.265,71.88,71.89,-0.56,-0.77%,6523400
12/19/2023,71.85,72.555,71.85,72.45,0.73,+1.02%,4835900
12/18/2023,71,72.05,71,71.72,0.7,+0.99%,6993400
12/15/2023,70.89,71.37,70.73,71.02,-0.18,-0.25%,7243200
12/14/2023,71.12,71.535,70.585,71.2,0.31,+0.44%,6460900
12/13/2023,70.29,71.045,70.06,70.89,0.66,+0.94%,7708400
12/12/2023,69.86,70.23,69.57,70.23,0.29,+0.41%,7862100
12/11/2023,70.19,70.23,69.64,69.94,-0.54,-0.77%,6300400
12/08/2023,69.56,70.66,69.56,70.48,0.33,+0.47%,5282500
12/07/2023,69.39,70.515,69.37,70.15,1.44,+2.10%,6122500
12/06/2023,69.3,69.37,68.63,68.71,-0.18,-0.26%,4552500
12/05/2023,69.04,69.485,68.51,68.89,-0.32,-0.46%,5984500
12/04/2023,69,69.3,68.75,69.21,-0.7,-1.00%,6609500
12/01/2023,69.65,69.9569,69.21,69.91,0.14,+0.20%,7708500
11/30/2023,70.18,70.38,69.18,69.77,-0.41,-0.58%,7202700
11/29/2023,70.89,70.96,70.03,70.18,-0.51,-0.72%,4089100
11/28/2023,70.37,70.72,70.16,70.69,0.17,+0.24%,4779500
11/27/2023,70.61,70.98,70.48,70.52,-0.44,-0.62%,3909800
11/24/2023,71.11,71.23,70.765,70.96,-0.24,-0.34%,2416400
11/22/2023,70.98,71.495,70.97,71.2,0.58,+0.82%,4188500
11/21/2023,70.71,70.8086,70.4,70.62,-0.24,-0.34%,3902200
11/20/2023,69.89,70.935,69.81,70.86,0.79,+1.13%,5728000
11/17/2023,69.91,70.09,69.66,70.07,-0.01,-0.01%,3914200
11/16/2023,69.79,70.11,69.46,70.08,0.31,+0.44%,7438500
11/15/2023,69.84,69.91,69.405,69.77,0.34,+0.49%,5401800
11/14/2023,69.39,69.9904,69.31,69.43,1.11,+1.62%,6034300
11/13/2023,68.16,68.6,67.969,68.32,-0.15,-0.22%,7809400
