Time,Open,High,Low,Last,Change,%Chg,Volume
12/29/2023,113.98,114.4,113.51,113.99,-0.14,-0.12%,7936400
12/28/2023,113.97,114.37,113.82,114.13,0.03,+0.03%,8240700
12/27/2023,113.91,114.37,113.715,114.1,0.17,+0.15%,5894100
12/26/2023,113.22,114.195,113.05,113.93,0.8,+0.71%,5181500
12/22/2023,112.82,113.525,112.68,113.13,0.54,+0.48%,5500200
12/21/2023,112.23,112.635,111.72,112.59,1.15,+1.03%,6962100
12/20/2023,112.46,113.385,111.37,111.44,-1.83,-1.62%,8329700
12/19/2023,112.72,113.39,112.65,113.27,0.87,+0.77%,5249400
12/18/2023,112.68,112.755,112.275,112.4,-0.62,-0.55%,6977200
12/15/2023,112.9,113.38,112.4714,113.02,-0.15,-0.13%,13801000
12/14/2023,112.5,113.44,112.345,113.17,1.44,+1.29%,15473900
12/13/2023,110.5,111.935,109.92,111.73,1.23,+1.11%,12976800
12/12/2023,110.16,110.725,109.8,110.5,0.5,+0.45%,6524500
12/11/2023,109.24,110.13,109.18,110,1.04,+0.95%,9380200
12/08/2023,108.66,109.49,108.62,108.96,0.34,+0.31%,7150000
12/07/2023,108.76,108.935,108.31,108.62,0.1,+0.09%,8457500
12/06/2023,108.53,109.17,108.35,108.52,0.48,+0.44%,8336200
12/05/2023,108.46,108.63,107.895,108.04,-0.88,-0.81%,10056300
12/04/2023,107.89,108.97,107.89,108.92,0.18,+0.17%,11010800
12/01/2023,107.15,108.81,107.07,108.74,1.69,+1.58%,13279800
11/30/2023,106.09,107.11,105.76,107.05,1.16,+1.10%,14101500
11/29/2023,106.08,106.415,105.68,105.89,0.4,+0.38%,9101300
11/28/2023,105.89,106.375,105.34,105.49,-0.25,-0.24%,7975900
11/27/2023,106,106.09,105.58,105.74,-0.6,-0.56%,9157900
11/24/2023,106.12,106.54,106.07,106.34,0.26,+0.25%,4439200
11/22/2023,105.82,106.405,105.61,106.08,0.23,+0.22%,9059700
11/21/2023,105.76,106.045,105.41,105.85,-0.08,-0.08%,7676500
11/20/2023,105.5,106.21,105.06,105.93,0.32,+0.30%,7339100
11/17/2023,105.47,105.65,105.14,105.61,0.67,+0.64%,8034800
11/16/2023,105.03,105.52,104.515,104.94,0.02,+0.02%,8611000
11/15/2023,104.99,105.72,104.84,104.92,0.22,+0.21%,8516300
11/14/2023,103.89,105.115,103.89,104.7,2.06,+2.01%,12872900
11/13/2023,102.31,102.87,102.13,102.64,0.09,+0.09%,6598100
11/10/2023,101.65,102.655,101.29,102.55,1.46,+1.44%,9576200
11/09/2023,101.95,102.115,100.9,101.09,-0.22,-0.22%,12232800
11/08/2023,101.3,101.63,100.9,101.31,0.23,+0.23%,7494200
11/07/2023,100.64,101.235,100.395,101.08,-0.25,-0.25%,7244500
11/06/2023,101.68,101.73,100.85,101.33,-0.27,-0.27%,6899300
11/03/2023,101.63,102.15,101.55,101.6,0.89,+0.88%,10001200
11/02/2023,99.77,100.81,99.55,100.71,2.03,+2.06%,10739700
11/01/2023,98.46,98.875,97.79,98.68,0.32,+0.33%,14715300
10/31/2023,97.42,98.4691,97.27,98.36,0.72,+0.74%,10540200
10/30/2023,97.08,97.9672,96.71,97.64,1.2,+1.24%,11242800
10/27/2023,97.35,97.51,96.115,96.44,-0.86,-0.88%,13062000
10/26/2023,97.77,98.46,97.2401,97.3,-0.41,-0.42%,15387300
10/25/2023,98.83,98.92,97.665,97.71,-1.27,-1.28%,10996000
10/24/2023,99.49,99.655,98.53,98.98,0.74,+0.75%,9324400
10/23/2023,98.55,99.62,98.19,98.24,-0.46,-0.47%,12076900
10/20/2023,99.84,100.04,98.66,98.7,-1.03,-1.03%,13641000
10/19/2023,100.86,101.45,99.52,99.73,-0.93,-0.92%,12535100
10/18/2023,102.47,102.52,100.49,100.66,-2.49,-2.41%,13582600
10/17/2023,102.37,103.82,102.33,103.15,0.32,+0.31%,10707200
10/16/2023,102.67,103.395,102.28,102.83,1.08,+1.06%,8344000
10/13/2023,102.77,103.15,101.3,101.75,-0.91,-0.89%,9605400
10/12/2023,103.92,103.92,101.875,102.66,-0.94,-0.91%,8102100
10/11/2023,103.25,103.65,102.79,103.6,0.62,+0.60%,7806500
10/10/2023,102.77,103.585,102.36,102.98,0.62,+0.61%,9658200
10/09/2023,101.17,102.48,100.98,102.36,1.58,+1.57%,11059700
10/06/2023,99.04,101.36,98.69,100.78,1.36,+1.37%,13842600
10/05/2023,99.87,100.13,99.01,99.42,-0.59,-0.59%,10336300
10/04/2023,99.66,100.19,98.91,100.01,0.32,+0.32%,11394400
10/03/2023,100.04,100.78,99.275,99.69,-0.7,-0.70%,12055500
10/02/2023,101.09,101.37,99.93,100.39,-0.99,-0.98%,11079200
09/29/2023,102.54,102.63,101.04,101.38,-0.54,-0.53%,11042000
09/28/2023,101.42,102.63,101.285,101.92,0.43,+0.42%,9804800
09/27/2023,101.35,101.805,100.69,101.49,0.75,+0.74%,12676400
09/26/2023,101.64,101.96,100.62,100.74,-1.56,-1.52%,11490500
09/25/2023,101.35,102.34,101.3152,102.3,0.51,+0.50%,7355700
09/22/2023,101.95,102.44,101.74,101.79,-0.35,-0.34%,10971200
09/21/2023,103.46,103.5,102.1,102.14,-1.7,-1.64%,8931400
09/20/2023,104.85,105.33,103.78,103.84,-0.41,-0.39%,8289900
